,hexagon_id,connections_points,normalized_score
221,871eb2a74ffffff,,
222,871eb0753ffffff,,
223,871eb22d1ffffff,,
224,871eb0641ffffff,,
225,871eb2346ffffff,,
226,871eb2ae9ffffff,,
227,871eb00d3ffffff,,
228,871eb2a10ffffff,,
229,871eb226dffffff,1.0,0.0
230,871eb0568ffffff,,
231,871eb068bffffff,,
232,871eb2209ffffff,,
233,871eb2b33ffffff,,
234,871eb07aeffffff,,
235,871eb3d23ffffff,,
236,871eb232cffffff,,
237,871eb000bffffff,,
238,871eb04a0ffffff,,
239,871eb2a6bffffff,,
240,871eb074affffff,,
241,871eb22c8ffffff,,
242,871eb06e6ffffff,,
243,871eb00caffffff,,
244,871eb2264ffffff,,
245,871eb2b8effffff,,
246,871eb0682ffffff,,
247,871eb2200ffffff,,
248,871eb2b2affffff,,
249,871eb07a5ffffff,,
250,871eb061effffff,,
251,871eb2ac6ffffff,,
252,871eb2323ffffff,,
253,871eb3d1affffff,,
254,871eb0ab3ffffff,,
255,871eb0002ffffff,,
256,871eb23aaffffff,,
257,871eb2223ffffff,,
258,871eb0089ffffff,,
259,871eb3da1ffffff,,
260,871eb06a5ffffff,,
261,871eb2b4dffffff,,
262,871eb2a62ffffff,,
263,871eb3cb6ffffff,,
264,871eb0741ffffff,,
265,871eb0433ffffff,,
266,871eb00c1ffffff,,
267,871eb06ddffffff,,
268,871eb0556ffffff,,
269,871eb225bffffff,,
270,871eb2b85ffffff,,
271,871eb2b21ffffff,,
272,871eb04f2ffffff,,
273,871eb3d75ffffff,,
274,871eb005dffffff,,
275,871eb079cffffff,,
276,871eb0615ffffff,,
277,871eb3d11ffffff,,
278,871eb048effffff,,
279,871eb231affffff,,
280,871eb2a59ffffff,,
281,871eb042affffff,,
282,871eb06d4ffffff,,
283,871eb2252ffffff,,
284,871eb054dffffff,,
285,871eb286effffff,,
286,871eb04e9ffffff,,
287,871eb2375ffffff,,
288,871eb00edffffff,,
289,871eb2a2affffff,,
290,871eb0709ffffff,,
291,871eb0670ffffff,,
292,871eb2b18ffffff,,
293,871eb0793ffffff,,
294,871eb060cffffff,,
295,871eb3d08ffffff,,
296,871eb0aa1ffffff,,
297,871eb2311ffffff,,
298,871eb2a50ffffff,,
299,871eb3ca4ffffff,,
300,871eb0421ffffff,,
301,871eb22adffffff,,
302,871eb3996ffffff,,
303,871eb2b73ffffff,,
304,871eb06cbffffff,,
305,871eb0544ffffff,,
306,871eb236cffffff,,
307,871eb04e0ffffff,,
308,871eb3d63ffffff,,
309,871eb078affffff,,
310,871eb0603ffffff,,
311,871eb2308ffffff,,
312,871eb2aabffffff,,
313,871eb0a98ffffff,1.0,0.0
314,871eb0726ffffff,,
315,871eb0418ffffff,,
316,871eb3c9bffffff,,
317,871eb22a4ffffff,,
318,871eb2b6affffff,,
319,871eb06c2ffffff,,
320,871eb22ebffffff,,
321,871eb076dffffff,1.0,0.0
322,871eb2a8effffff,,
323,871eb03b4ffffff,,
324,871eb2240ffffff,,
325,871eb00a6ffffff,,
326,871eb2363ffffff,,
327,871eb065effffff,,
328,871eb2b06ffffff,,
329,871eb0042ffffff,,
330,871eb0781ffffff,,
331,871eb0473ffffff,,
332,871eb071dffffff,,
333,871eb3c92ffffff,,
334,871eb2b61ffffff,,
335,871eb3db5ffffff,,
336,871eb009dffffff,,
337,871eb04ceffffff,,
338,871eb235affffff,,
339,871eb0655ffffff,,
340,871eb204cffffff,,
341,871eb046affffff,,
342,871eb2a99ffffff,,
343,871eb0a86ffffff,,
344,871eb22f6ffffff,,
345,871eb0714ffffff,,
346,871eb0406ffffff,,
347,871eb2a35ffffff,,
348,871eb058dffffff,,
349,871eb06b0ffffff,,
350,871eb2b58ffffff,,
351,871eb222effffff,,
352,871eb3d46ffffff,,
353,871eb2af2ffffff,,
354,871eb04c3ffffff,,
355,871eb3dacffffff,,
356,871eb0094ffffff,,
357,871eb3c25ffffff,,
358,871eb03a2ffffff,,
359,871eb0529ffffff,,
360,871eb2351ffffff,,
361,871eb04c5ffffff,,
362,871eb2af4ffffff,,
363,871eb0461ffffff,,
364,871eb22edffffff,,
365,871eb070bffffff,,
366,871eb2a2cffffff,,
367,871eb3c80ffffff,,
368,871eb2289ffffff,,
369,871eb008bffffff,,
370,871eb3da3ffffff,,
371,871eb2225ffffff,,
372,871eb0399ffffff,,
373,871eb23acffffff,,
374,871eb2aebffffff,,
375,871eb2348ffffff,,
376,871eb0643ffffff,,
377,871eb0458ffffff,,
378,871eb0766ffffff,,
379,871eb22e4ffffff,,
380,871eb0702ffffff,,
381,871eb2a23ffffff,,
382,871eb00e6ffffff,,
383,871eb2baaffffff,,
384,871eb3daaffffff,,
385,871eb222cffffff,,
386,871eb2b56ffffff,,
387,871eb0092ffffff,,
388,871eb06aeffffff,,
389,871eb069effffff,,
390,871eb2b46ffffff,,
391,871eb3d9affffff,,
392,871eb0082ffffff,,
393,871eb221cffffff,,
394,871eb0390ffffff,,
395,871eb23a3ffffff,,
396,871eb3d36ffffff,,
397,871eb2ae2ffffff,,
398,871eb001effffff,,
399,871eb04b3ffffff,,
400,871eb075dffffff,,
401,871eb22dbffffff,,
402,871eb00ddffffff,,
403,871eb2a1affffff,,
404,871eb0b8effffff,,
405,871eb0572ffffff,,
406,871eb0695ffffff,,
407,871eb3d91ffffff,,
408,871eb2213ffffff,,
409,871eb050effffff,,
410,871eb0631ffffff,,
411,871eb2ad9ffffff,,
412,871eb3d2dffffff,,
413,871eb0015ffffff,,
414,871eb04aaffffff,,
415,871eb2336ffffff,,
416,871eb058bffffff,,
417,871eb0404ffffff,,
418,871eb2a33ffffff,,
419,871eb00f6ffffff,,
420,871eb0712ffffff,,
421,871eb2a75ffffff,,
422,871eb0754ffffff,,
423,871eb0446ffffff,,
424,871eb06f0ffffff,,
425,871eb00d4ffffff,,
426,871eb2a11ffffff,,
427,871eb226effffff,,
428,871eb0569ffffff,,
429,871eb2b98ffffff,1.0,0.0
430,871eb068cffffff,,
431,871eb220affffff,,
432,871eb3d88ffffff,,
433,871eb2b34ffffff,,
434,871eb3d24ffffff,,
435,871eb0628ffffff,,
436,871eb2ad0ffffff,,
437,871eb232dffffff,,
438,871eb000cffffff,,
439,871eb0193ffffff,,
440,871eb04a1ffffff,,
441,871eb2a6cffffff,,
442,871eb074bffffff,,
443,871eb39b2ffffff,,
444,871eb02b6ffffff,,
445,871eb2a08ffffff,,
446,871eb00cbffffff,,
447,871eb2265ffffff,,
448,871eb0a84ffffff,,
449,871eb22f4ffffff,,
450,871eb0776ffffff,,
451,871eb0468ffffff,,
452,871eb0560ffffff,,
453,871eb0683ffffff,,
454,871eb2b2bffffff,,
455,871eb2201ffffff,,
456,871eb2388ffffff,,
457,871eb07a6ffffff,1.0,0.0
458,871eb2324ffffff,,
459,871eb0498ffffff,,
460,871eb3d1bffffff,,
461,871eb0003ffffff,,
462,871eb0ab4ffffff,,
463,871eb2a63ffffff,,
464,871eb0742ffffff,,
465,871eb22c0ffffff,,
466,871eb00c2ffffff,,
467,871eb06deffffff,,
468,871eb225cffffff,1.0,0.0
469,871eb04f3ffffff,,
470,871eb3d76ffffff,,
471,871eb2b22ffffff,,
472,871eb005effffff,,
473,871eb079dffffff,,
474,871eb0616ffffff,,
475,871eb3d12ffffff,,
476,871eb231bffffff,,
477,871eb2a5affffff,,
478,871eb042bffffff,,
479,871eb3caeffffff,,
480,871eb0653ffffff,,
481,871eb2358ffffff,,
482,871eb04ccffffff,,
483,871eb06d5ffffff,,
484,871eb054effffff,,
485,871eb2253ffffff,,
486,871eb04eaffffff,,
487,871eb2376ffffff,,
488,871eb0671ffffff,,
489,871eb2b19ffffff,,
490,871eb2068ffffff,,
491,871eb0794ffffff,,
492,871eb060dffffff,,
493,871eb3d09ffffff,,
494,871eb0aa2ffffff,,
495,871eb0486ffffff,,
496,871eb2a51ffffff,,
497,871eb0730ffffff,,
498,871eb3ca5ffffff,,
499,871eb0422ffffff,,
500,871eb05a9ffffff,,
501,871eb22aeffffff,,
502,871eb2b74ffffff,,
503,871eb06ccffffff,,
504,871eb00b0ffffff,,
505,871eb0545ffffff,,
506,871eb224affffff,,
507,871eb04e1ffffff,,
508,871eb236dffffff,,
509,871eb3d64ffffff,,
510,871eb004cffffff,,
511,871eb2b10ffffff,,
512,871eb2235ffffff,,
513,871eb009bffffff,,
514,871eb3db3ffffff,,
515,871eb078bffffff,,
516,871eb0604ffffff,,
517,871eb3d00ffffff,,
518,871eb2309ffffff,,
