hexagon_id,latency_ms,normalized_score
871eb22c8ffffff,,
871eb06e6ffffff,,
871eb00caffffff,,
871eb2264ffffff,,
871eb2b8effffff,32.0,0.68
871eb0682ffffff,,
871eb2200ffffff,,
871eb2b2affffff,,
871eb07a5ffffff,,
871eb061effffff,,
871eb2ac6ffffff,,
871eb2323ffffff,,
871eb3d1affffff,,
871eb0ab3ffffff,,
871eb0002ffffff,,
871eb23aaffffff,,
871eb2223ffffff,,
871eb0089ffffff,,
871eb3da1ffffff,,
871eb06a5ffffff,,
871eb2b4dffffff,,
871eb2a62ffffff,,
871eb3cb6ffffff,,
871eb0741ffffff,,
871eb0433ffffff,,
871eb00c1ffffff,,
871eb06ddffffff,,
871eb0556ffffff,,
871eb225bffffff,38.0,0.62
871eb2b85ffffff,,
871eb2b21ffffff,,
871eb04f2ffffff,,
871eb3d75ffffff,80.0,0.2
871eb005dffffff,51.0,0.49
871eb079cffffff,,
871eb0615ffffff,,
871eb3d11ffffff,,
871eb048effffff,,
871eb231affffff,,
871eb2a59ffffff,,
871eb042affffff,,
871eb06d4ffffff,,
871eb2252ffffff,,
871eb054dffffff,36.0,0.64
871eb286effffff,,
871eb04e9ffffff,,
871eb2375ffffff,,
871eb00edffffff,,
871eb2a2affffff,,
871eb0709ffffff,79.0,0.21
871eb0670ffffff,,
871eb2b18ffffff,,
871eb0793ffffff,,
871eb060cffffff,,
871eb3d08ffffff,,
871eb0aa1ffffff,,
871eb2311ffffff,47.0,0.53
871eb2a50ffffff,,
871eb3ca4ffffff,,
871eb0421ffffff,,
871eb22adffffff,,
871eb3996ffffff,,
871eb2b73ffffff,,
871eb06cbffffff,,
871eb0544ffffff,39.0,0.61
871eb236cffffff,,
871eb04e0ffffff,,
871eb3d63ffffff,,
871eb078affffff,,
871eb0603ffffff,,
871eb2308ffffff,,
871eb2aabffffff,,
871eb0a98ffffff,,
871eb0726ffffff,,
871eb0418ffffff,,
871eb3c9bffffff,54.5,0.455
871eb22a4ffffff,,
871eb2b6affffff,,
871eb06c2ffffff,,
871eb22ebffffff,,
871eb076dffffff,57.0,0.43
871eb2a8effffff,,
871eb03b4ffffff,,
871eb2240ffffff,49.0,0.51
871eb00a6ffffff,,
871eb2363ffffff,,
871eb065effffff,,
871eb2b06ffffff,,
871eb0042ffffff,,
871eb0781ffffff,,
871eb0473ffffff,,
871eb071dffffff,30.0,0.7
871eb3c92ffffff,,
871eb2b61ffffff,,
871eb3db5ffffff,,
871eb009dffffff,,
871eb04ceffffff,,
871eb235affffff,,
871eb0655ffffff,49.0,0.51
871eb204cffffff,,
871eb046affffff,,
871eb2a99ffffff,,
871eb0a86ffffff,,
871eb22f6ffffff,,
871eb0714ffffff,,
871eb0406ffffff,,
871eb2a35ffffff,,
871eb058dffffff,,
871eb06b0ffffff,,
871eb2b58ffffff,,
871eb222effffff,,
871eb3d46ffffff,,
871eb2af2ffffff,,
871eb04c3ffffff,,
871eb3dacffffff,,
871eb0094ffffff,52.0,0.48
871eb3c25ffffff,28.5,0.715
871eb03a2ffffff,35.166666666666664,0.6483333333333334
871eb0529ffffff,,
871eb2351ffffff,,
871eb04c5ffffff,,
871eb2af4ffffff,,
871eb0461ffffff,,
871eb22edffffff,,
871eb070bffffff,,
871eb2a2cffffff,,
871eb3c80ffffff,,
871eb2289ffffff,,
871eb008bffffff,,
871eb3da3ffffff,,
871eb2225ffffff,,
871eb0399ffffff,39.0,0.61
871eb23acffffff,,
871eb2aebffffff,,
